FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
38.0,0.41433,0.28433,0.77033,100.33333,-0.01418,0.45613,0.52124,34.0,0.44833,0.40367,0.788,99.0,0.13591,0.52035,0.60624,0.0,0
37.66667,0.42467,0.27133,0.811,105.33333,-0.08863,0.46792,0.56153,41.0,0.472,0.41667,0.81333,112.66667,0.01748,0.53209,0.60995,0.33333,1
38.33333,0.449,0.31533,0.81933,101.0,-0.13455,0.51181,0.56603,40.0,0.445,0.382,0.79467,107.66667,-0.06129,0.5184,0.573,0.66667,0
40.33333,0.50133,0.48467,0.80933,114.66667,0.2608,0.582,0.67162,40.33333,0.436,0.367,0.77867,117.33333,0.09839,0.50718,0.5931,0.33333,0
46.0,0.50733,0.403,0.69833,114.66667,0.08896,0.55691,0.60361,39.66667,0.49467,0.432,0.72467,108.33333,0.11346,0.56786,0.6362,0.33333,1
37.0,0.49033,0.42867,0.77967,107.66667,0.05506,0.56836,0.66045,37.0,0.451,0.43967,0.86167,107.0,0.16577,0.52477,0.61317,0.0,1
43.0,0.491,0.31833,0.742,112.0,0.00094,0.54299,0.6047,37.33333,0.414,0.315,0.71567,98.33333,-0.27649,0.46059,0.51868,1.0,0
44.0,0.50933,0.36933,0.78033,108.0,0.09137,0.56058,0.60451,41.33333,0.521,0.40367,0.78333,112.66667,-0.02286,0.588,0.6633,0.66667,0
40.66667,0.46167,0.337,0.89267,112.33333,-0.06261,0.51983,0.60553,42.0,0.46767,0.39533,0.77167,111.66667,0.09273,0.55102,0.5967,0.33333,0
39.66667,0.46533,0.377,0.79267,110.33333,0.13329,0.51893,0.60304,33.0,0.401,0.38667,0.853,98.66667,-0.13411,0.48179,0.56528,0.66667,0
39.33333,0.43933,0.398,0.78967,113.66667,0.05223,0.50461,0.59122,37.33333,0.43633,0.38033,0.825,105.0,-0.03938,0.51269,0.58239,0.33333,1
38.33333,0.43967,0.28767,0.782,100.66667,0.08091,0.47787,0.54765,36.33333,0.42767,0.38467,0.79733,101.33333,0.04539,0.50022,0.56555,0.66667,0
41.33333,0.48467,0.446,0.74167,116.33333,0.06776,0.55918,0.63624,39.33333,0.43433,0.279,0.62733,102.33333,-0.16563,0.48946,0.54033,1.0,1
37.66667,0.45933,0.40567,0.80667,106.0,0.09651,0.52821,0.60632,42.33333,0.47333,0.362,0.6,105.0,-0.23303,0.53707,0.56729,1.0,0
41.0,0.45967,0.34333,0.67433,105.0,-0.26631,0.51445,0.56271,39.33333,0.47633,0.45333,0.85,107.0,0.04591,0.54162,0.61358,0.0,1
35.66667,0.42533,0.384,0.777,100.33333,-0.0646,0.48586,0.56327,33.0,0.39167,0.35867,0.70167,93.66667,-0.24932,0.44936,0.52157,1.0,1
41.33333,0.476,0.31767,0.69333,104.66667,-0.02538,0.52799,0.57468,36.33333,0.42167,0.40067,0.827,106.0,0.0254,0.47425,0.57427,0.33333,1
37.66667,0.46867,0.43667,0.873,107.33333,0.14612,0.5458,0.62705,41.33333,0.43933,0.41133,0.72633,115.66667,0.09684,0.52323,0.58445,0.33333,1
43.33333,0.50967,0.35333,0.76733,113.66667,0.10771,0.57405,0.63395,33.0,0.42367,0.38267,0.774,98.0,0.05947,0.48498,0.57967,0.33333,1
42.66667,0.48867,0.427,0.78167,111.33333,0.14553,0.55347,0.6081,36.33333,0.43467,0.311,0.697,93.33333,-0.13242,0.48213,0.5322,0.66667,0
36.33333,0.45767,0.36933,0.82533,100.0,0.09613,0.52536,0.5961,40.0,0.48633,0.44267,0.897,111.0,-0.0046,0.57332,0.64251,0.66667,0
44.0,0.49167,0.38267,0.81067,113.33333,0.23488,0.5647,0.60925,41.66667,0.49733,0.36333,0.81733,107.0,-0.01718,0.56537,0.61272,0.66667,0
37.33333,0.477,0.35267,0.82533,99.66667,0.1011,0.5303,0.60182,41.0,0.47933,0.302,0.607,98.33333,-0.18482,0.52268,0.55444,0.66667,0
35.66667,0.39067,0.299,0.77,106.33333,-0.0401,0.45054,0.54646,34.0,0.412,0.35867,0.75933,96.33333,-0.17008,0.48141,0.55142,1.0,0
38.66667,0.444,0.28667,0.76567,98.33333,-0.21538,0.49787,0.54393,42.66667,0.481,0.38733,0.821,109.33333,0.20647,0.53576,0.58904,0.33333,1
40.0,0.453,0.424,0.724,113.66667,0.11415,0.52598,0.6007,36.66667,0.413,0.298,0.776,97.0,-0.17912,0.45673,0.52055,0.66667,0
44.66667,0.504,0.36267,0.75633,115.0,0.09745,0.5529,0.61481,41.0,0.48333,0.377,0.737,109.0,0.04689,0.56108,0.61341,0.33333,0
36.0,0.41367,0.299,0.71867,93.0,0.08893,0.45725,0.51029,41.33333,0.486,0.404,0.73967,111.33333,0.01427,0.54737,0.61608,0.33333,1
42.33333,0.50533,0.467,0.77467,113.0,0.2981,0.58965,0.64402,36.0,0.41433,0.307,0.746,100.66667,-0.09978,0.46828,0.54466,0.66667,0
38.0,0.444,0.383,0.778,99.0,0.09888,0.50297,0.55563,41.0,0.493,0.419,0.86933,112.33333,0.0009,0.5812,0.64407,0.66667,0
38.33333,0.44367,0.37433,0.832,104.33333,0.03301,0.51892,0.57913,36.0,0.429,0.463,0.711,97.66667,-0.17777,0.49421,0.54967,1.0,0
